wallet,markets_active,direction_wr_pct,total_trades,total_volume,net_pnl,roi_pct,avg_entry_price,trade_wr_pct
0xf8e7f542422ec43b919c377675d9fd703f897330,525,82.7,2892,20098.4,851.68,4.24,0.5513,57.6
0x606856f0077a11b5e03fff96eeb899108a3d3342,610,73.4,3171,49141.15,2081.12,4.23,0.6987,72.6
0x85ef84780afe3bedcd6ba85101a44c62c5d41bb3,594,77.4,11734,122863.34,5179.86,4.22,0.4687,48.5
0x187d3dc88f949b1f9d8b561f3a826da8307a8e1c,1007,78.1,4156,22335.83,938.62,4.2,0.6458,66.6
0xd7e5a1c8d23664d481761218fc4767941aecfe31,1327,85.3,3260,31159.95,1305.51,4.19,0.694,71.6
0xc2b00b670009fffca62ec190cc0560ef46c9e756,1151,73.1,4614,37102.61,1541.62,4.16,0.6507,67.1
0x924496fabc1d6d96048137ff49d4e64cd7c12d55,663,70.9,2100,12207.01,499.28,4.09,0.5859,61.1
0x6edc096fb829163b7c71f8fdb81078cecc4761cf,926,86.5,12679,164103.2,6669.41,4.06,0.5582,57.8
0xb014f0bf7e00d4beb95bb0b58323b1f2e0429b98,645,81.4,7560,72569.13,2921.15,4.03,0.4783,49.0
0x27d354a0b34e18d48b0370dde6605dcdf55909c1,971,79.2,6340,60096.11,2417.2,4.02,0.5284,54.1
0xe6034667f866ebc019df76344e27696e75bc9a84,684,70.9,2129,12474.54,501.7,4.02,0.5349,55.0
0xde6e74aea7fd9a9866e801489feb489f21e20169,643,70.6,10112,130591.06,5251.32,4.02,0.5518,56.5
0x1e3b6822abfb39331b863eb729cdc251f607c850,1063,89.7,115122,2210049.58,88859.58,4.02,0.5713,60.1
0x7c8df886defd658afe0b5decb669e6973bce299c,1298,70.2,3517,14512.17,580.88,4.0,0.4896,50.4
0xf824b4777b457eb19908bfd2a755768b3f410fda,1291,87.0,15382,177863.82,7106.09,4.0,0.5919,60.8
0xcd050d69a824168c3e9770d22f53ba0b3c8d8190,666,77.5,3165,46016.31,1828.57,3.97,0.5133,52.7
0x6f5d01a22ce0f5c8c28ae67a38bbf30b6c1339fb,506,77.1,3075,11086.32,438.37,3.95,0.5137,53.0
0x60210781b8c4fd6da6a21b01298afd4bf0bf8ca2,4588,74.6,46667,671359.26,26424.83,3.94,0.4492,47.1
0xb343c03ee55a50c1bec6a37a81cfb4349656097d,1065,80.5,3470,21986.76,867.05,3.94,0.6602,67.6
0xdddff09786c203b27a99a95e0ab3d040a37ed97a,622,75.7,4126,34215.36,1323.7,3.87,0.5523,57.0
0xcbcf9e6f313c50e3209bd633e791d1bc1aec63bd,589,76.6,16067,272724.45,10555.81,3.87,0.4814,50.7
0xf7e6a0250da4034334f47a1f1031de0f5dd283a4,587,86.4,2169,11909.16,456.73,3.84,0.5537,58.0
0xac9bd3239cd5ef72793bf548cb83bf411ed1e7df,707,70.7,39950,245633.5,9401.0,3.83,0.5701,59.1
0x76370a0c44027a1aaa3caaa4d4ec690c42190bcc,806,88.7,2385,11100.91,425.14,3.83,0.5672,57.4
0x2f6614f24be6111c6d6053014c9983843e188403,549,88.3,4263,38441.57,1470.38,3.82,0.4519,47.1
0xcfd383eb62b0c60c1ff5733c65c6c0538ca68627,513,79.7,2008,18401.12,695.49,3.78,0.6809,69.7
0xcdd8a1054ca2e81cb254f47da5c4727183404207,591,80.7,12991,210376.88,7948.29,3.78,0.6689,69.2
0x9dec192a5eff070c5105ed6edc28f5ca3c27d734,2910,79.9,6594,13104.91,492.35,3.76,0.5508,56.2
0x5cf00f552dd0185d19dbfdf0ec2de0059d70a575,586,72.7,5329,59960.48,2250.75,3.75,0.5506,55.8
0x9dd492affbbc355772aab8e1335b6c012b076a6c,1605,71.8,10620,97460.71,3642.35,3.74,0.5666,58.1
0x251246362a52e486f987df91de8d961e602d9030,1028,81.0,29562,92208.61,3436.89,3.73,0.5276,54.4
0x4d0d5633c4cd72c0f186050284a170a57c45f270,661,85.6,3931,41007.49,1516.57,3.7,0.6091,62.5
0xf7e8bf2d12aaded6da86d89e9170bf79ca4b7953,899,89.4,39445,619793.97,22812.68,3.68,0.5631,58.7
0x8f31d2d083d841896f0c838d9da3902279aa4574,768,76.6,3191,23685.22,867.52,3.66,0.529,54.8
0x215a452dbc2dc50f743eeff25f8a8ba159a01725,508,83.5,5211,36608.5,1341.59,3.66,0.4907,50.3
0x72bdbd376474373605c3f3ee1d13cd0886d7d37a,712,83.0,5924,45140.4,1636.69,3.63,0.6214,63.6
0x1960e565b7144a2941c6d1df6c2001b591cd2475,513,70.6,2357,31975.96,1155.75,3.61,0.5812,60.7
0xc771d5d878f267ab9c29edcddcc7f4bd50aa6f90,519,71.5,2009,13413.26,484.12,3.61,0.5198,53.1
0x796d5c4525f8ba16feb1196ac8db5083de765b84,854,72.1,3213,12310.19,444.74,3.61,0.5358,54.2
0x6b688e4775d9c72e81c39b1e3738fe3092c20e7a,1335,73.6,5648,45917.93,1640.58,3.57,0.5961,61.1
0xfc9efe191573fd1a7767d1b13ca91b3497606522,843,74.1,11329,121984.45,4310.6,3.53,0.5365,55.6
0xc26122274a9eaa1023a33608b8afa1cb6b4c0ac7,575,82.1,3813,30425.78,1071.48,3.52,0.6262,64.0
0x0f7178b83b1b190992a17d9f28a3722e5138fe85,551,83.7,2617,24777.83,870.29,3.51,0.6004,62.4
0x3c31f631ac08c11a48cfb73418c1eb6cbbb80142,565,78.4,4170,51466.06,1790.24,3.48,0.6491,67.1
0xc8c20a99ea04f350ce197f6e856f136765118b8a,583,77.7,7152,83356.14,2874.22,3.45,0.5469,55.3
0x7fd5e93a6bb483cc1233620dd5ad579f5ae4b12a,723,90.6,6240,82870.66,2858.78,3.45,0.5508,57.0
0x76b829f9dc293fff53be790fb19840d0670f6aa1,1955,90.2,31982,418100.43,14380.91,3.44,0.6375,65.5
0xf7b6b54d7103f96497d7b96720b1e94073c79206,1043,87.2,5399,34273.66,1153.43,3.37,0.5555,56.7
0x1cecde801b4e4733bc440267c640ca5511d85468,664,85.2,7546,21863.91,733.21,3.35,0.525,54.2
0xb35e923ffa579455ad05dd0affe948986e7f9da0,1312,88.2,7825,52010.2,1742.88,3.35,0.4831,50.0
0x7829b9e87673ba4872fc61bb1148db7047451ac0,556,74.1,6690,86736.82,2903.35,3.35,0.5618,58.2
0x96e67df089704338666e25aea0f226222d63b641,588,76.2,1821,15269.09,503.58,3.3,0.6761,69.5
0x070541386a9533e21eab164ffe772e529f91a86f,771,89.1,40280,840499.39,27611.16,3.29,0.4477,45.9
0xa4c0a01222be8c3b6e500cd2bae9a8e151229d41,642,88.0,4820,50159.83,1646.46,3.28,0.5398,54.6
0x6244cc3ffcaa5c62410c53257b07670bc4ccaa43,552,74.8,2030,11517.22,372.65,3.24,0.5864,60.4
