day,side,won,entry,spread,filled,pnl_maker,chase_ask,chase_premium,pnl_chase
2026-05-13,YES,1,0.505,0.030000000000000027,False,,0.6799999999999999,0.17499999999999993,0.30433280000000007
2026-05-13,YES,1,0.505,0.010000000000000009,True,0.505,,,
2026-05-13,YES,0,0.445,0.010000000000000009,True,-0.435,,,
2026-05-13,YES,0,0.415,0.02999999999999997,False,,0.39499999999999996,-0.020000000000000018,-0.41220619999999997
2026-05-13,YES,1,0.415,0.009999999999999953,False,,0.625,0.21000000000000002,0.358125
2026-05-13,YES,0,0.465,0.010000000000000009,False,,0.495,0.02999999999999997,-0.5129982
2026-05-13,YES,1,0.485,0.010000000000000009,True,0.525,,,
2026-05-13,YES,1,0.465,0.010000000000000009,False,,0.485,0.019999999999999962,0.4970162
2026-05-13,YES,1,0.495,0.010000000000000009,True,0.515,,,
2026-05-13,YES,0,0.525,0.010000000000000009,False,,0.635,0.10999999999999999,-0.6516878
2026-05-13,YES,1,0.455,0.030000000000000027,False,,0.595,0.13999999999999996,0.38764980000000004
2026-05-13,YES,1,0.535,0.010000000000000009,False,,0.715,0.17999999999999994,0.2703282
2026-05-13,YES,0,0.455,0.030000000000000027,True,-0.425,,,
2026-05-13,YES,1,0.425,0.010000000000000009,False,,0.475,0.04999999999999999,0.507045
2026-05-13,YES,0,0.515,0.010000000000000009,False,,0.545,0.030000000000000027,-0.5628542000000001
2026-05-13,YES,1,0.425,0.010000000000000009,False,,0.435,0.010000000000000009,0.5473041999999999
2026-05-13,YES,1,0.485,0.06,True,0.575,,,
2026-05-13,YES,0,0.475,0.04999999999999999,True,-0.425,,,
2026-05-13,YES,0,0.545,0.010000000000000009,False,,0.595,0.04999999999999993,-0.6123502
2026-05-13,YES,1,0.545,0.020000000000000018,False,,0.6900000000000001,0.14500000000000002,0.29459919999999995
2026-05-13,YES,0,0.465,0.010000000000000009,True,-0.455,,,
2026-05-13,YES,0,0.435,0.10999999999999999,False,,0.52,0.08500000000000002,-0.5379712
2026-05-13,YES,0,0.495,0.02999999999999997,False,,0.7549999999999999,0.2599999999999999,-0.7683182
2026-05-13,YES,0,0.525,0.08000000000000002,False,,0.48500000000000004,-0.03999999999999998,-0.5029838000000001
2026-05-13,YES,0,0.455,0.010000000000000009,False,,0.535,0.08000000000000002,-0.5529118000000001
2026-05-13,YES,1,0.555,0.050000000000000044,False,,0.7250000000000001,0.17000000000000004,0.2606449999999999
2026-05-13,YES,0,0.415,0.009999999999999953,False,,0.5149999999999999,0.09999999999999992,-0.5329837999999999
2026-05-13,YES,1,0.435,0.03999999999999998,False,,0.47,0.034999999999999976,0.5120648
2026-05-13,YES,1,0.405,0.010000000000000009,False,,0.405,0.0,0.5776498
2026-05-14,YES,1,0.445,0.010000000000000009,False,,0.465,0.020000000000000018,0.5170881999999999
2026-05-14,YES,1,0.495,0.010000000000000009,False,,0.545,0.050000000000000044,0.4371458
2026-05-14,YES,1,0.445,0.09999999999999998,False,,0.575,0.12999999999999995,0.407405
2026-05-14,YES,0,0.5650000000000001,0.06000000000000005,False,,0.685,0.12,-0.7005358
2026-05-14,YES,0,0.455,0.030000000000000027,False,,0.465,0.010000000000000009,-0.4829118
2026-05-14,YES,0,0.445,0.020000000000000018,True,-0.425,,,
2026-05-14,YES,0,0.465,0.010000000000000009,False,,0.505,0.03999999999999998,-0.5229982
2026-05-14,YES,1,0.485,0.019999999999999962,True,0.5349999999999999,,,
2026-05-14,YES,0,0.435,0.020000000000000018,True,-0.415,,,
2026-05-14,YES,0,0.545,0.040000000000000036,False,,0.555,0.010000000000000009,-0.5727822
2026-05-14,YES,0,0.425,0.02999999999999997,False,,0.5149999999999999,0.08999999999999991,-0.5329837999999999
2026-05-14,YES,1,0.485,0.010000000000000009,False,,0.625,0.14,0.358125
2026-05-14,YES,1,0.475,0.009999999999999953,False,,0.48499999999999993,0.009999999999999953,0.49701620000000013
2026-05-14,YES,1,0.445,0.010000000000000009,True,0.565,,,
2026-05-14,YES,0,0.475,0.009999999999999953,True,-0.465,,,
2026-05-14,YES,0,0.405,0.010000000000000009,False,,0.41500000000000004,0.010000000000000009,-0.4324798
2026-05-14,YES,1,0.525,0.010000000000000009,False,,0.555,0.030000000000000027,0.4272178
2026-05-14,YES,0,0.425,0.019999999999999962,True,-0.405,,,
2026-05-14,YES,1,0.455,0.010000000000000009,False,,0.465,0.010000000000000009,0.5170881999999999
2026-05-14,YES,1,0.525,0.010000000000000009,False,,0.525,0.0,0.457045
2026-05-14,YES,1,0.415,0.009999999999999953,False,,0.595,0.18,0.38764980000000004
2026-05-14,YES,1,0.415,0.02999999999999997,False,,0.7050000000000001,0.2900000000000001,0.28002579999999994
2026-05-14,YES,0,0.455,0.010000000000000009,False,,0.465,0.010000000000000009,-0.4829118
2026-05-14,YES,0,0.505,0.020000000000000018,False,,0.515,0.010000000000000009,-0.5329838
2026-05-14,YES,1,0.405,0.010000000000000009,False,,0.475,0.06999999999999995,0.507045
2026-05-14,YES,0,0.425,0.019999999999999962,False,,0.475,0.04999999999999999,-0.492955
