day,side,won,entry,spread,filled,pnl_maker,repost_filled,pnl_repost,repost_gated_filled,pnl_repost_gated,chase_ask,chase_premium,pnl_chase
2026-06-02,NO,1,0.475,0.010000000000000009,False,,True,0.42500000000000004,True,0.42500000000000004,0.585,0.10999999999999999,0.39752020000000005
2026-06-02,NO,1,0.475,0.010000000000000009,False,,True,0.355,True,0.355,0.655,0.18000000000000005,0.32872979999999996
2026-06-02,NO,0,0.495,0.030000000000000027,False,,True,-0.495,True,-0.495,0.525,0.030000000000000027,-0.5429550000000001
2026-06-02,NO,1,0.435,0.010000000000000009,False,,True,0.52,True,0.52,0.49,0.05499999999999999,0.49200720000000003
2026-06-02,NO,1,0.515,0.040000000000000036,False,,True,0.21499999999999997,True,0.21499999999999997,0.655,0.14,0.32872979999999996
2026-06-02,NO,1,0.495,0.010000000000000009,True,0.515,True,0.515,True,0.515,,,
2026-06-02,NO,1,0.355,0.010000000000000009,False,,True,0.12,True,0.12,0.745,0.39,0.2413218
2026-06-02,NO,1,0.485,0.040000000000000036,False,,True,0.275,True,0.275,0.655,0.17000000000000004,0.32872979999999996
2026-06-02,NO,1,0.375,0.010000000000000009,False,,True,0.525,True,0.525,0.485,0.10999999999999999,0.4970162
2026-06-02,NO,1,0.435,0.010000000000000009,True,0.575,True,0.575,True,0.575,,,
2026-06-02,NO,1,0.445,0.009999999999999898,True,0.565,True,0.565,True,0.565,,,
2026-06-02,NO,1,0.405,0.010000000000000009,False,,True,0.265,True,0.265,0.645,0.24,0.3385138
2026-06-02,NO,1,0.465,0.010000000000000009,True,0.5449999999999999,True,0.5449999999999999,True,0.5449999999999999,,,
2026-06-02,NO,1,0.445,0.019999999999999907,False,,True,0.33499999999999996,True,0.33499999999999996,0.6149999999999999,0.16999999999999987,0.3679522000000001
2026-06-02,NO,0,0.395,0.030000000000000027,False,,True,-0.37,True,-0.375,0.4,0.0050000000000000044,-0.41728000000000004
2026-06-02,NO,1,0.495,0.030000000000000027,False,,True,0.44500000000000006,True,0.44500000000000006,0.585,0.08999999999999997,0.39752020000000005
2026-06-02,NO,0,0.495,0.020000000000000018,True,-0.475,True,-0.475,True,-0.475,,,
2026-06-02,YES,1,0.485,0.010000000000000009,False,,True,0.405,True,0.51,0.635,0.15000000000000002,0.3483122
2026-06-02,NO,1,0.515,0.010000000000000009,True,0.495,True,0.495,True,0.495,,,
